date,program_type,vacancies_per_day,beds_per_day,percent_vacant_per_day,year,month,day,percent_occupied_per_day
2019-08-12,Transitional Independent Living (HYA),25,25,100,2019,8,12,0
2019-08-12,Transitional Independent Living (TIL),128,493,25.96,2019,8,12,74.03999999999999
2019-08-13,Crisis Shelters,44,246,17.89,2019,8,13,82.11
2019-08-13,Transitional Independent Living (HYA),25,25,100,2019,8,13,0
2019-08-13,Transitional Independent Living (TIL),123,493,24.95,2019,8,13,75.05
2019-08-14,Crisis Shelters,36,246,14.63,2019,8,14,85.37
2019-08-14,Transitional Independent Living (HYA),25,25,100,2019,8,14,0
2019-08-14,Transitional Independent Living (TIL),124,493,25.15,2019,8,14,74.85
2019-08-15,Crisis Shelters,39,246,15.85,2019,8,15,84.15
2019-08-15,Transitional Independent Living (HYA),25,25,100,2019,8,15,0
2019-08-15,Transitional Independent Living (TIL),130,493,26.37,2019,8,15,73.63
2019-08-16,Crisis Shelters,37,246,15.04,2019,8,16,84.96000000000001
2019-08-16,Transitional Independent Living (HYA),25,25,100,2019,8,16,0
2019-08-16,Transitional Independent Living (TIL),130,493,26.37,2019,8,16,73.63
2019-08-17,Crisis Shelters,38,246,15.45,2019,8,17,84.55
2019-08-17,Transitional Independent Living (HYA),25,25,100,2019,8,17,0
2019-08-17,Transitional Independent Living (TIL),128,493,25.96,2019,8,17,74.03999999999999
2019-08-18,Crisis Shelters,35,246,14.23,2019,8,18,85.77
2019-08-18,Transitional Independent Living (HYA),25,25,100,2019,8,18,0
2019-08-18,Transitional Independent Living (TIL),132,493,26.77,2019,8,18,73.23
2019-08-19,Crisis Shelters,37,246,15.04,2019,8,19,84.96000000000001
2019-08-19,Transitional Independent Living (HYA),25,25,100,2019,8,19,0
2019-08-19,Transitional Independent Living (TIL),133,493,26.98,2019,8,19,73.02
2019-08-20,Crisis Shelters,33,246,13.41,2019,8,20,86.59
2019-08-20,Transitional Independent Living (HYA),25,25,100,2019,8,20,0
2019-08-20,Transitional Independent Living (TIL),131,493,26.57,2019,8,20,73.43
2019-08-21,Crisis Shelters,35,246,14.23,2019,8,21,85.77
2019-08-21,Transitional Independent Living (HYA),25,25,100,2019,8,21,0
2019-08-21,Transitional Independent Living (TIL),130,493,26.37,2019,8,21,73.63
2019-08-22,Crisis Shelters,35,246,14.23,2019,8,22,85.77
2019-08-22,Transitional Independent Living (HYA),25,25,100,2019,8,22,0
2019-08-22,Transitional Independent Living (TIL),121,493,24.54,2019,8,22,75.46000000000001
2019-08-23,Crisis Shelters,32,246,13.01,2019,8,23,86.99
2019-08-23,Transitional Independent Living (HYA),25,25,100,2019,8,23,0
2019-08-23,Transitional Independent Living (TIL),116,493,23.53,2019,8,23,76.47
2019-08-24,Crisis Shelters,34,246,13.82,2019,8,24,86.18
2019-08-24,Transitional Independent Living (HYA),25,25,100,2019,8,24,0
2019-08-24,Transitional Independent Living (TIL),116,493,23.53,2019,8,24,76.47
2019-08-25,Crisis Shelters,33,246,13.41,2019,8,25,86.59
2019-08-25,Transitional Independent Living (HYA),25,25,100,2019,8,25,0
2019-08-25,Transitional Independent Living (TIL),117,493,23.73,2019,8,25,76.27
2019-08-26,Crisis Shelters,38,252,15.08,2019,8,26,84.92
2019-08-26,Transitional Independent Living (HYA),25,25,100,2019,8,26,0
2019-08-26,Transitional Independent Living (TIL),113,493,22.92,2019,8,26,77.08
2019-08-27,Crisis Shelters,45,252,17.86,2019,8,27,82.14
2019-08-27,Transitional Independent Living (HYA),25,25,100,2019,8,27,0
2019-08-27,Transitional Independent Living (TIL),108,493,21.91,2019,8,27,78.09
2019-08-28,Crisis Shelters,52,252,20.63,2019,8,28,79.37
2019-08-28,Transitional Independent Living (HYA),25,25,100,2019,8,28,0
2019-08-28,Transitional Independent Living (TIL),108,493,21.91,2019,8,28,78.09
2019-08-29,Crisis Shelters,57,252,22.62,2019,8,29,77.38
2019-08-29,Transitional Independent Living (HYA),25,25,100,2019,8,29,0
2019-08-29,Transitional Independent Living (TIL),108,493,21.91,2019,8,29,78.09
2019-08-30,Crisis Shelters,58,252,23.02,2019,8,30,76.98
2019-08-30,Transitional Independent Living (HYA),25,25,100,2019,8,30,0
2022-05-13,Crisis Shelters,60,250,24,2022,5,13,76
2019-08-30,Transitional Independent Living (TIL),104,493,21.1,2019,8,30,78.9
2019-08-31,Crisis Shelters,56,252,22.22,2019,8,31,77.78
2019-08-31,Transitional Independent Living (HYA),25,25,100,2019,8,31,0
2019-08-31,Transitional Independent Living (TIL),105,493,21.3,2019,8,31,78.7
2019-09-01,Crisis Shelters,56,252,22.22,2019,9,1,77.78
2019-09-01,Transitional Independent Living (HYA),25,25,100,2019,9,1,0
2019-09-01,Transitional Independent Living (TIL),107,493,21.7,2019,9,1,78.3
2019-09-02,Crisis Shelters,48,252,19.05,2019,9,2,80.95
2019-09-02,Transitional Independent Living (HYA),25,25,100,2019,9,2,0
2019-09-02,Transitional Independent Living (TIL),108,493,21.91,2019,9,2,78.09
2019-09-03,Crisis Shelters,47,252,18.65,2019,9,3,81.35
2019-09-03,Transitional Independent Living (HYA),25,25,100,2019,9,3,0
2019-09-03,Transitional Independent Living (TIL),110,493,22.31,2019,9,3,77.69
2019-09-04,Crisis Shelters,43,252,17.06,2019,9,4,82.94
2019-09-04,Transitional Independent Living (HYA),25,25,100,2019,9,4,0
2019-09-04,Transitional Independent Living (TIL),112,493,22.72,2019,9,4,77.28
2019-09-05,Crisis Shelters,36,252,14.29,2019,9,5,85.71000000000001
2019-09-05,Transitional Independent Living (HYA),25,25,100,2019,9,5,0
2019-09-05,Transitional Independent Living (TIL),114,493,23.12,2019,9,5,76.88
2019-09-06,Crisis Shelters,36,252,14.29,2019,9,6,85.71000000000001
2019-09-06,Transitional Independent Living (HYA),25,25,100,2019,9,6,0
2019-09-06,Transitional Independent Living (TIL),113,493,22.92,2019,9,6,77.08
2019-09-07,Crisis Shelters,34,252,13.49,2019,9,7,86.51
2019-09-07,Transitional Independent Living (HYA),25,25,100,2019,9,7,0
2019-09-07,Transitional Independent Living (TIL),111,493,22.52,2019,9,7,77.48
2019-09-08,Crisis Shelters,36,252,14.29,2019,9,8,85.71000000000001
2019-09-08,Transitional Independent Living (HYA),25,25,100,2019,9,8,0
2019-09-08,Transitional Independent Living (TIL),111,493,22.52,2019,9,8,77.48
2019-09-09,Crisis Shelters,33,252,13.1,2019,9,9,86.9
2019-09-09,Transitional Independent Living (HYA),25,25,100,2019,9,9,0
2019-09-09,Transitional Independent Living (TIL),112,493,22.72,2019,9,9,77.28
2019-09-10,Crisis Shelters,34,252,13.49,2019,9,10,86.51
2019-09-10,Transitional Independent Living (HYA),25,25,100,2019,9,10,0
2019-09-10,Transitional Independent Living (TIL),116,493,23.53,2019,9,10,76.47
2019-09-11,Crisis Shelters,38,252,15.08,2019,9,11,84.92
2019-09-11,Transitional Independent Living (HYA),25,25,100,2019,9,11,0
2019-09-11,Transitional Independent Living (TIL),112,493,22.72,2019,9,11,77.28
2019-09-12,Crisis Shelters,36,252,14.29,2019,9,12,85.71000000000001
2019-09-12,Transitional Independent Living (HYA),25,25,100,2019,9,12,0
2019-09-12,Transitional Independent Living (TIL),114,493,23.12,2019,9,12,76.88
2019-09-13,Crisis Shelters,36,252,14.29,2019,9,13,85.71000000000001
2019-09-13,Transitional Independent Living (HYA),25,25,100,2019,9,13,0
2019-09-13,Transitional Independent Living (TIL),114,493,23.12,2019,9,13,76.88
2019-09-14,Crisis Shelters,38,252,15.08,2019,9,14,84.92
2019-09-14,Transitional Independent Living (HYA),25,25,100,2019,9,14,0
2019-09-14,Transitional Independent Living (TIL),113,493,22.92,2019,9,14,77.08
2019-09-15,Crisis Shelters,38,252,15.08,2019,9,15,84.92
2019-09-15,Transitional Independent Living (HYA),25,25,100,2019,9,15,0
2019-09-15,Transitional Independent Living (TIL),112,493,22.72,2019,9,15,77.28
2019-09-16,Crisis Shelters,42,252,16.67,2019,9,16,83.33
2019-09-16,Transitional Independent Living (HYA),25,25,100,2019,9,16,0
2019-09-16,Transitional Independent Living (TIL),110,493,22.31,2019,9,16,77.69
2019-09-17,Crisis Shelters,32,252,12.7,2019,9,17,87.3
2019-09-17,Transitional Independent Living (HYA),25,25,100,2019,9,17,0
2019-09-17,Transitional Independent Living (TIL),112,493,22.72,2019,9,17,77.28
2019-09-18,Crisis Shelters,36,252,14.29,2019,9,18,85.71000000000001
2019-09-18,Transitional Independent Living (HYA),25,25,100,2019,9,18,0
2019-09-18,Transitional Independent Living (TIL),111,493,22.52,2019,9,18,77.48
2019-09-19,Crisis Shelters,42,252,16.67,2019,9,19,83.33
2019-09-19,Transitional Independent Living (HYA),25,25,100,2019,9,19,0
2019-09-19,Transitional Independent Living (TIL),107,493,21.7,2019,9,19,78.3
2019-09-20,Crisis Shelters,35,252,13.89,2019,9,20,86.11
2019-09-20,Transitional Independent Living (HYA),25,25,100,2019,9,20,0
2019-09-20,Transitional Independent Living (TIL),105,493,21.3,2019,9,20,78.7
2019-09-21,Crisis Shelters,39,252,15.48,2019,9,21,84.52
2019-09-21,Transitional Independent Living (HYA),25,25,100,2019,9,21,0
2019-09-21,Transitional Independent Living (TIL),104,493,21.1,2019,9,21,78.9
2019-09-22,Crisis Shelters,38,252,15.08,2019,9,22,84.92
2019-09-22,Transitional Independent Living (HYA),25,25,100,2019,9,22,0
2019-09-22,Transitional Independent Living (TIL),106,493,21.5,2019,9,22,78.5
2019-09-23,Crisis Shelters,38,252,15.08,2019,9,23,84.92
2019-09-23,Transitional Independent Living (HYA),25,25,100,2019,9,23,0
2019-09-23,Transitional Independent Living (TIL),108,493,21.91,2019,9,23,78.09
2019-09-24,Crisis Shelters,34,252,13.49,2019,9,24,86.51
2019-09-24,Transitional Independent Living (HYA),25,25,100,2019,9,24,0
2019-09-24,Transitional Independent Living (TIL),109,493,22.11,2019,9,24,77.89
2019-09-25,Crisis Shelters,45,252,17.86,2019,9,25,82.14
2019-09-25,Transitional Independent Living (HYA),25,25,100,2019,9,25,0
2019-09-25,Transitional Independent Living (TIL),103,493,20.89,2019,9,25,79.11
2019-09-26,Crisis Shelters,46,252,18.25,2019,9,26,81.75
2019-09-26,Transitional Independent Living (HYA),25,25,100,2019,9,26,0
2019-09-26,Transitional Independent Living (TIL),104,493,21.1,2019,9,26,78.9
2019-09-27,Crisis Shelters,39,252,15.48,2019,9,27,84.52
2019-09-27,Transitional Independent Living (HYA),25,25,100,2019,9,27,0
2019-09-27,Transitional Independent Living (TIL),106,493,21.5,2019,9,27,78.5
2019-09-28,Crisis Shelters,43,252,17.06,2019,9,28,82.94
2019-09-28,Transitional Independent Living (HYA),25,25,100,2019,9,28,0
2019-09-28,Transitional Independent Living (TIL),109,493,22.11,2019,9,28,77.89
2019-09-29,Crisis Shelters,41,252,16.27,2019,9,29,83.73
2019-09-29,Transitional Independent Living (HYA),25,25,100,2019,9,29,0
2019-09-29,Transitional Independent Living (TIL),108,493,21.91,2019,9,29,78.09
2019-09-30,Crisis Shelters,42,252,16.67,2019,9,30,83.33
2019-09-30,Transitional Independent Living (HYA),25,25,100,2019,9,30,0
2019-09-30,Transitional Independent Living (TIL),107,493,21.7,2019,9,30,78.3
2019-10-01,Crisis Shelters,47,252,18.65,2019,10,1,81.35
2019-10-01,Transitional Independent Living (HYA),25,25,100,2019,10,1,0
2019-10-01,Transitional Independent Living (TIL),109,493,22.11,2019,10,1,77.89
2019-10-02,Crisis Shelters,39,252,15.48,2019,10,2,84.52
2019-10-02,Transitional Independent Living (HYA),25,25,100,2019,10,2,0
2019-10-02,Transitional Independent Living (TIL),108,493,21.91,2019,10,2,78.09
2019-10-03,Crisis Shelters,31,252,12.3,2019,10,3,87.7
2019-10-03,Transitional Independent Living (HYA),25,25,100,2019,10,3,0
2019-10-03,Transitional Independent Living (TIL),107,493,21.7,2019,10,3,78.3
2019-10-04,Crisis Shelters,31,252,12.3,2019,10,4,87.7
2019-10-04,Transitional Independent Living (HYA),25,25,100,2019,10,4,0
2019-10-04,Transitional Independent Living (TIL),107,493,21.7,2019,10,4,78.3
2019-10-05,Crisis Shelters,29,252,11.51,2019,10,5,88.49
2019-10-05,Transitional Independent Living (HYA),25,25,100,2019,10,5,0
2019-10-05,Transitional Independent Living (TIL),107,493,21.7,2019,10,5,78.3
2019-10-06,Crisis Shelters,24,252,9.52,2019,10,6,90.48
2019-10-06,Transitional Independent Living (HYA),25,25,100,2019,10,6,0
2019-10-06,Transitional Independent Living (TIL),107,493,21.7,2019,10,6,78.3
2019-10-07,Crisis Shelters,29,252,11.51,2019,10,7,88.49
2019-10-07,Transitional Independent Living (HYA),25,25,100,2019,10,7,0
2019-10-07,Transitional Independent Living (TIL),108,493,21.91,2019,10,7,78.09
2019-10-08,Crisis Shelters,23,252,9.13,2019,10,8,90.87
2019-10-08,Transitional Independent Living (HYA),25,25,100,2019,10,8,0
2019-10-08,Transitional Independent Living (TIL),109,493,22.11,2019,10,8,77.89
2019-10-09,Crisis Shelters,20,258,7.75,2019,10,9,92.25
2019-10-09,Transitional Independent Living (HYA),25,25,100,2019,10,9,0
2019-10-09,Transitional Independent Living (TIL),103,493,20.89,2019,10,9,79.11
2019-10-10,Crisis Shelters,23,258,8.91,2019,10,10,91.09
2019-10-10,Transitional Independent Living (HYA),25,25,100,2019,10,10,0
2019-10-10,Transitional Independent Living (TIL),103,493,20.89,2019,10,10,79.11
2019-10-11,Crisis Shelters,31,258,12.02,2019,10,11,87.98
2019-10-11,Transitional Independent Living (HYA),25,25,100,2019,10,11,0
2019-10-11,Transitional Independent Living (TIL),100,493,20.28,2019,10,11,79.72
2019-10-12,Crisis Shelters,32,258,12.4,2019,10,12,87.6
2019-10-12,Transitional Independent Living (HYA),25,25,100,2019,10,12,0
2019-10-12,Transitional Independent Living (TIL),99,493,20.08,2019,10,12,79.92
2019-10-13,Crisis Shelters,31,258,12.02,2019,10,13,87.98
2019-10-13,Transitional Independent Living (HYA),25,25,100,2019,10,13,0
2019-10-13,Transitional Independent Living (TIL),98,493,19.88,2019,10,13,80.12
2019-10-14,Crisis Shelters,30,258,11.63,2019,10,14,88.37
2019-10-14,Transitional Independent Living (HYA),25,25,100,2019,10,14,0
2019-10-14,Transitional Independent Living (TIL),98,493,19.88,2019,10,14,80.12
2019-10-15,Crisis Shelters,27,258,10.47,2019,10,15,89.53
2019-10-15,Transitional Independent Living (HYA),25,25,100,2019,10,15,0
2019-10-15,Transitional Independent Living (TIL),99,493,20.08,2019,10,15,79.92
2019-10-16,Crisis Shelters,28,258,10.85,2019,10,16,89.15
2019-10-16,Transitional Independent Living (HYA),25,25,100,2019,10,16,0
2019-10-16,Transitional Independent Living (TIL),97,493,19.68,2019,10,16,80.32
2019-10-17,Crisis Shelters,30,258,11.63,2019,10,17,88.37
2019-10-17,Transitional Independent Living (HYA),25,25,100,2019,10,17,0
2019-10-17,Transitional Independent Living (TIL),97,493,19.68,2019,10,17,80.32
2019-10-18,Crisis Shelters,26,258,10.08,2019,10,18,89.92
2019-10-18,Transitional Independent Living (HYA),25,25,100,2019,10,18,0
2019-10-18,Transitional Independent Living (TIL),94,493,19.07,2019,10,18,80.93
2019-10-19,Crisis Shelters,34,258,13.18,2019,10,19,86.82
2019-10-19,Transitional Independent Living (HYA),25,25,100,2019,10,19,0
2019-10-19,Transitional Independent Living (TIL),93,493,18.86,2019,10,19,81.14
2019-10-20,Crisis Shelters,36,258,13.95,2019,10,20,86.05
2019-10-20,Transitional Independent Living (HYA),25,25,100,2019,10,20,0
2019-10-20,Transitional Independent Living (TIL),93,493,18.86,2019,10,20,81.14
2019-10-21,Crisis Shelters,32,258,12.4,2019,10,21,87.6
2019-10-21,Transitional Independent Living (HYA),25,25,100,2019,10,21,0
2019-10-21,Transitional Independent Living (TIL),93,493,18.86,2019,10,21,81.14
2019-10-22,Crisis Shelters,26,258,10.08,2019,10,22,89.92
2019-10-22,Transitional Independent Living (HYA),25,25,100,2019,10,22,0
2019-10-22,Transitional Independent Living (TIL),94,493,19.07,2019,10,22,80.93
2019-10-23,Crisis Shelters,27,258,10.47,2019,10,23,89.53
2019-10-23,Transitional Independent Living (HYA),25,25,100,2019,10,23,0
2019-10-23,Transitional Independent Living (TIL),98,493,19.88,2019,10,23,80.12
2019-10-24,Crisis Shelters,27,258,10.47,2019,10,24,89.53
2019-10-24,Transitional Independent Living (HYA),25,25,100,2019,10,24,0
2019-10-24,Transitional Independent Living (TIL),96,493,19.47,2019,10,24,80.53
2019-10-25,Crisis Shelters,29,258,11.24,2019,10,25,88.76
2019-10-25,Transitional Independent Living (HYA),25,25,100,2019,10,25,0
2019-10-25,Transitional Independent Living (TIL),99,493,20.08,2019,10,25,79.92
2019-10-26,Crisis Shelters,28,258,10.85,2019,10,26,89.15
2019-10-26,Transitional Independent Living (HYA),25,25,100,2019,10,26,0
2019-10-26,Transitional Independent Living (TIL),98,493,19.88,2019,10,26,80.12
2019-10-27,Crisis Shelters,32,258,12.4,2019,10,27,87.6
2019-10-27,Transitional Independent Living (HYA),25,25,100,2019,10,27,0
2019-10-27,Transitional Independent Living (TIL),98,493,19.88,2019,10,27,80.12
2019-10-28,Crisis Shelters,27,258,10.47,2019,10,28,89.53
2019-10-28,Transitional Independent Living (HYA),25,25,100,2019,10,28,0
2019-10-28,Transitional Independent Living (TIL),101,493,20.49,2019,10,28,79.51
2019-10-29,Crisis Shelters,23,258,8.91,2019,10,29,91.09
2019-10-29,Transitional Independent Living (HYA),25,25,100,2019,10,29,0
2019-10-29,Transitional Independent Living (TIL),99,493,20.08,2019,10,29,79.92
2019-10-30,Crisis Shelters,33,258,12.79,2019,10,30,87.21000000000001
2019-10-30,Transitional Independent Living (HYA),25,25,100,2019,10,30,0
2019-10-30,Transitional Independent Living (TIL),100,493,20.28,2019,10,30,79.72
2019-10-31,Crisis Shelters,29,258,11.24,2019,10,31,88.76
2019-10-31,Transitional Independent Living (HYA),25,25,100,2019,10,31,0
2019-10-31,Transitional Independent Living (TIL),101,493,20.49,2019,10,31,79.51
2019-11-01,Crisis Shelters,35,258,13.57,2019,11,1,86.43
2019-11-01,Transitional Independent Living (HYA),25,25,100,2019,11,1,0
2019-11-01,Transitional Independent Living (TIL),102,493,20.69,2019,11,1,79.31
